,player_face_url,sofifa_id,short_name,long_name,overall,player_positions,league_name,club_name,nationality_name,likes,dislikes
0,https://cdn.sofifa.net/players/158/023/22_120.png,158023,L. Messi,Lionel Andrés Messi Cuccittini,93,"RW, ST, CF",French Ligue 1,Paris Saint-Germain,Argentina,1927,645
1,https://cdn.sofifa.net/players/188/545/22_120.png,188545,R. Lewandowski,Robert Lewandowski,92,ST,German 1. Bundesliga,FC Bayern München,Poland,520,104
2,https://cdn.sofifa.net/players/020/801/22_120.png,20801,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,91,"ST, LW",English Premier League,Manchester United,Portugal,1700,517
3,https://cdn.sofifa.net/players/190/871/22_120.png,190871,Neymar Jr,Neymar da Silva Santos Júnior,91,"LW, CAM",French Ligue 1,Paris Saint-Germain,Brazil,860,288
4,https://cdn.sofifa.net/players/192/985/22_120.png,192985,K. De Bruyne,Kevin De Bruyne,91,"CM, CAM",English Premier League,Manchester City,Belgium,530,60
5,https://cdn.sofifa.net/players/200/389/22_120.png,200389,J. Oblak,Jan Oblak,91,GK,Spain Primera Division,Atlético de Madrid,Slovenia,258,17
6,https://cdn.sofifa.net/players/231/747/22_120.png,231747,K. Mbappé,Kylian Mbappé Lottin,91,"ST, LW",French Ligue 1,Paris Saint-Germain,France,1578,358
7,https://cdn.sofifa.net/players/167/495/22_120.png,167495,M. Neuer,Manuel Peter Neuer,90,GK,German 1. Bundesliga,FC Bayern München,Germany,256,41
8,https://cdn.sofifa.net/players/192/448/22_120.png,192448,M. ter Stegen,Marc-André ter Stegen,90,GK,Spain Primera Division,FC Barcelona,Germany,221,48
9,https://cdn.sofifa.net/players/202/126/22_120.png,202126,H. Kane,Harry Kane,90,ST,English Premier League,Tottenham Hotspur,England,428,88
10,https://cdn.sofifa.net/players/215/914/22_120.png,215914,N. Kanté,N'Golo Kanté,90,"CDM, CM",English Premier League,Chelsea,France,416,30
11,https://cdn.sofifa.net/players/165/153/22_120.png,165153,K. Benzema,Karim Benzema,89,"CF, ST",Spain Primera Division,Real Madrid CF,France,321,123
12,https://cdn.sofifa.net/players/192/119/22_120.png,192119,T. Courtois,Thibaut Courtois,89,GK,Spain Primera Division,Real Madrid CF,Belgium,224,44
